bidder_id,prediction
49bb5a3c944b8fc337981cc7a9ccae41u31d7,4.05673802232e-05
a921612b85a1494456e74c09393ccb65ylp4y,4.05673802232e-05
6b601e72a4d264dab9ace9d7b229b47479v6i,3.92293207431e-05
eaf0ed0afc9689779417274b4791726cn5udi,4.05673802232e-05
cdecd8d02ed8c6037e38042c7745f688mx5sf,4.05673802232e-05
d4aed439bdc854a56fc6cc3bdb986775w7hxw,4.33625543735e-05
ed591299b162a19ff77f0479495831b31hl1q,4.28843430423e-05
eebdee08b0f67283126ef60307f49680sb9va,5.97010209627e-05
6887f0abc4eb4c79eb0e23c48ceea186vjfih,4.38235634126e-05
37eb6e2979e66d4ce29a74ac1c8bc6a5lqs6t,0.0909408029559
3bdce1c10890630c287cc3f758ae0dc3ddpu8,0.000126778262888
78fdbeba625c6ee7a1bce379b4263773auglk,4.05673802232e-05
65d451d17c6c3cc8bcfad0f4253f307arko5e,5.15450127144e-05
5ad0cf9fa41c6ee677e708cd704ba9609qjod,5.33141421057e-05
b017a5693a93f7e5fcab8e4be495951f5hlp3,4.05673802232e-05
29606fe1516646d7058c2830d03643705t8hg,4.05673802232e-05
1c93e9b89cbb10abc6180e3a0e5061fcwugql,4.05673802232e-05
de24bbcb87c906b5e385ec715df727dcgj8gs,4.05673802232e-05
7f6d1b6369786181188848e7903ba72ckc0xv,7.22007386287e-05
2fdc5ca6fd51089afe756ee00e4f7e23le4gq,4.05673802232e-05
3cda68167e63c7edcb7a618e466f5e82iv4xq,4.05673802232e-05
40848d51755dda8e1aa23ba52bfb1ab5ewrso,4.05673802232e-05
3e322551a9657e97b345bb965bbab4d8eawre,4.05673802232e-05
1a1d4e9eba20c58b73fd68c5ab9907081xw9l,0.619546106175
5759ce7d1b3dbe6ddf4a1d128e767085yu5iv,4.05673802232e-05
a32715dae5fe9d7f9e29c70e6171a513nal30,4.05673802232e-05
2fd12c6c9a8c86edf1dc5d3bb6bd11dd9skfc,6.24341500545e-05
6c13e796dc0cb45b234234a7117d6fe9ta8qr,3.6572020786e-05
9f1e93f86a9d053856f754386fbeacf7bbn0h,5.15450127144e-05
a597c466ab9757c8b6b3f1da537303ccizhqj,4.05673802232e-05
8f903e6e380c42b5ad29d74dfbde74709ptfy,4.05673802232e-05
8ec77c402265170cdff483194d26a711b2jw9,4.05673802232e-05
154871353955cfe996aa3b15a99722e8z2dmo,6.02624581966e-05
5bdefc49dcf5eed981cb850c8e0808eaxzh4k,4.05673802232e-05
2e5316fad2ea56fc3196aaebd9b97faa59jdj,4.05673802232e-05
9edeb9dda13700f99a1a4c20ca580b74h769x,3.66428168083e-05
5e9fae8fb44a50c285436949f7f00460wjvsb,8.63044117179e-05
573cdcab827fca60cb3f93c134dee9c9pui8t,4.05673802232e-05
05357eefa29d2c28f59f9e346ec64cebylh3z,4.05673802232e-05
a9d1978a3989dd6947ed87c636c1ad65f9rwg,4.52450794536e-05
797fec2fdeea8bc90a1ef96768ef0f9962xhq,5.15450127144e-05
3240517cc1d3c5b8c25b9b25836f0b02ggjn0,4.05673802232e-05
11dde523eac413d1f8e7fabaa0801fb631rn4,4.05673802232e-05
554466d4e50644d899e4f8f3ccd64b87ayokk,4.05673802232e-05
8717fca1a2148057ebc97c3353b1f42319uek,4.05673802232e-05
fb1fab8fac01092deb15148b30e43b0d5u5l8,4.05673802232e-05
9c576162104947124e4eaad02b76cf724d1px,3.52949339148e-05
34b4cfde3929bc39e39d48a569195c40o2nze,4.05673802232e-05
4c669ef93cde71e8ac3b65d1625ffcccehk7v,0.000107973914301
735b166c3f06ad08bc7c6d4801b7ded71vr78,4.05673802232e-05
53c04a831c962b838c88a79a6a7d9f689bz15,4.05673802232e-05
769a58c4d5c9fc32f907ad6606a5297fsxo5m,4.05673802232e-05
e8884216c21966964f31756adf243500y3rw4,4.05673802232e-05
42f51eb034757f181a3da2a2524e6e5fzmdon,4.05673802232e-05
eb68e50dc11e2d00568b0f25cd5ab14bbbkmu,4.05673802232e-05
b6398eb969085ae2082b6728d204f431jl75l,4.05673802232e-05
15c822736005923603536c3ca3761f6a9akrn,4.05673802232e-05
d47110cdd3eeb1ec25659f4285730e0a28ofd,0.00092747788537
e57bc20c71927c409393e2e4028ba8a7ardwn,3.66428168083e-05
7c77cc3870ff3d40878b4baa37d55a54onjlu,4.05673802232e-05
383db27c9ec52b2749d30acadce06d4apzz8h,9.84971740824e-05
222a84e78164c6fbe3cc7e7fc25c16b2jqncf,4.05673802232e-05
25c6e2e49c4e933166937573040754e1r770w,0.994528910818
de9ccd9264042c8ec60bacf59114e0a72qhh8,5.1813320823e-05
92f2c8d4d96d95a60a0e7cc67f9e815bhqjpn,4.05673802232e-05
aed469b093bcecae707a31186a21a465hnxo6,4.05673802232e-05
